user,movie,rating
/aeio/,/film/the-lord-of-the-rings-the-return-of-the-king/,",like"
/aeio/,/film/the-matrix-revolutions/,",like"
/aeio/,/film/school-of-rock/,",like"
/aeio/,/film/freaky-friday-2003/,",like"
/aeio/,/film/finding-nemo/,",like"
/aeio/,/film/bruce-almighty/,",like"
/aeio/,/film/the-matrix-reloaded/,",like"
/aeio/,/film/the-lord-of-the-rings-the-two-towers/,",like"
/aeio/,/film/harry-potter-and-the-chamber-of-secrets/,",like"
/aeio/,/film/minority-report/,"6,like"
/aeio/,/film/scooby-doo/,",like"
/aeio/,/film/spider-man/,",like"
/aeio/,/film/ice-age/,",like"
/aeio/,/film/the-lord-of-the-rings-the-fellowship-of-the-ring/,",like"
/aeio/,/film/harry-potter-and-the-philosophers-stone/,",like"
/aeio/,/film/monsters-inc/,",like"
/aeio/,/film/spirited-away/,",like"
/aeio/,/film/shrek/,",like"
/aeio/,/film/pulse-2001/,"6,like"
/aeio/,/film/the-emperors-new-groove/,",like"
/aeio/,/film/meet-the-parents/,",like"
/aeio/,/film/scary-movie-2000/,",like"
/aeio/,/film/chicken-run/,",like"
/aeio/,/film/american-psycho/,"6,like"
/aeio/,/film/the-green-mile/,",like"
/aeio/,/film/toy-story-2/,",like"
/aeio/,/film/the-iron-giant/,"7,like"
/aeio/,/film/the-matrix/,"7,like"
/aeio/,/film/the-parent-trap-1998/,",like"
/aeio/,/film/mulan/,",like"
/aeio/,/film/the-truman-show/,",like"
/aeio/,/film/titanic-1997/,",like"
/aeio/,/film/perfect-blue/,"7,like"
/aeio/,/film/romeo-juliet-1996/,",like"
/aeio/,/film/independence-day/,",like"
/aeio/,/film/mission-impossible/,",like"
/aeio/,/film/dont-be-a-menace-to-south-central-while-drinking-your-juice-in-the-hood/,"5,like"
/aeio/,/film/the-mask-1994/,",like"
/aeio/,/film/the-lion-king/,",like"
/aeio/,/film/pulp-fiction/,"6,like"
/aeio/,/film/mrs-doubtfire/,",like"
/aeio/,/film/the-nightmare-before-christmas/,",like"
/aeio/,/film/hocus-pocus/,",like"
/celdinner/,/film/loki-2021/,"7,"
/celdinner/,/film/bo-burnham-inside/,"8,"
/celdinner/,/film/the-conjuring-the-devil-made-me-do-it/,"7,"
/celdinner/,/film/cruella/,"8,"
/celdinner/,/film/the-woman-in-the-window-2021/,"4,"
/celdinner/,/film/things-heard-seen/,"6,"
/celdinner/,/film/the-mitchells-vs-the-machines/,"10,"
/celdinner/,/film/army-of-the-dead-2021/,"7,"
/celdinner/,/film/bad-trip-2021/,"8,"
/celdinner/,/film/the-falcon-and-the-winter-soldier/,"8,"
/celdinner/,/film/zack-snyders-justice-league/,"8,"
/celdinner/,/film/the-fallout/,"8,"
/celdinner/,/film/south-parq-vaccination-special-2021/,"7,"
/celdinner/,/film/us-again-2021/,"9,"
/celdinner/,/film/raya-and-the-last-dragon/,"8,"
/celdinner/,/film/moxie-2021/,"7,"
/celdinner/,/film/the-scary-of-sixty-first/,"3,"
/celdinner/,/film/billie-eilish-the-worlds-a-little-blurry/,"8,"
/celdinner/,/film/barb-star-go-to-vista-del-mar/,"8,"
/celdinner/,/film/to-all-the-boys-always-and-forever/,"2,"
/celdinner/,/film/framing-britney-spears/,"8,"
/celdinner/,/film/passing-2021/,"8,"
/celdinner/,/film/malcolm-marie/,"4,"
/celdinner/,/film/summer-of-soul-or-when-the-revolution-could-not-be-televised/,"8,"
/celdinner/,/film/euphoria-fck-anyone-whos-not-a-sea-blob/,"8,"
/celdinner/,/film/wandavision/,"8,"
/celdinner/,/film/downfalls-high/,"2,"
/celdinner/,/film/death-to-2020/,"4,"
/celdinner/,/film/ariana-grande-excuse-me-i-love-you/,"6,"
/celdinner/,/film/happiest-season/,"6,"
/celdinner/,/film/lego-star-wars-holiday-special/,"6,"
/celdinner/,/film/borat-subsequent-moviefilm/,"7,"
/celdinner/,/film/roald-dahls-the-witches/,"5,"
/celdinner/,/film/south-park-the-pandemic-special/,"4,"
/celdinner/,/film/the-trial-of-the-chicago-7/,"7,"
/celdinner/,/film/pieces-of-a-woman/,"6,"
/celdinner/,/film/my-octopus-teacher/,"10,"
/celdinner/,/film/the-broken-hearts-gallery/,"8,"
/celdinner/,/film/shiva-baby-2020/,"9,"
/celdinner/,/film/tenet/,"3,"
/celdinner/,/film/normal-people-2020/,"10,"
/celdinner/,/film/the-invisible-man-2020/,"8,"
/celdinner/,/film/emma-2020/,"9,"
/celdinner/,/film/palm-springs-2020/,"6,"
/celdinner/,/film/black-bear/,"9,"
/celdinner/,/film/little-women-2019/,"10,"
/celdinner/,/film/the-gentlemen/,"8,"
/celdinner/,/film/frozen-2/,"7,"
/celdinner/,/film/doctor-sleep/,"1,"
/celdinner/,/film/knives-out-2019/,"10,"
/celdinner/,/film/hustlers-2019/,"8,"
/celdinner/,/film/the-king-2019/,"7,"
/celdinner/,/film/joker-2019/,"7,"
/celdinner/,/film/the-kingmaker/,"7,"
/celdinner/,/film/waves-2019/,"8,"
/celdinner/,/film/uncut-gems/,"10,"
/celdinner/,/film/scary-stories-to-tell-in-the-dark-2019/,"6,"
/celdinner/,/film/midsommar/,"9,"
/celdinner/,/film/black-mirror-rachel-jack-and-ashley-too/,
/celdinner/,/film/always-be-my-maybe-2019/,"6,"
/celdinner/,/film/ma-2019/,"4,"
/celdinner/,/film/parasite-2019/,"10,"
/celdinner/,/film/the-lighthouse-2019/,"8,"
/celdinner/,/film/rocketman-2019/,"8,"
/celdinner/,/film/the-dead-dont-die-2019/,"7,"
/celdinner/,/film/chernobyl/,
/celdinner/,/film/pokemon-detective-pikachu/,
